heart_rate,spo2,temperature,blood_pressure,tip
124.8,94.8,36.1,148/90,Elevated heart rate. Take a walk or rest.
83.8,98.6,36.4,126/71,All good. Stay healthy!
101.4,99.6,36.5,121/78,Elevated heart rate. Take a walk or rest.
121.5,96.3,38.0,154/92,You are overheating. Rest and hydrate.
123.2,97.0,38.9,156/87,You are overheating. Rest and hydrate.
84.2,97.7,37.1,120/72,All good. Stay healthy!
76.5,98.2,36.7,125/81,All good. Stay healthy!
113.3,87.0,36.6,158/85,🚨 Emergency! Call for help.
61.6,97.5,36.5,121/77,All good. Stay healthy!
74.9,85.5,36.8,110/72,🚨 Emergency! Call for help.
93.6,95.5,37.4,116/85,All good. Stay healthy!
58.6,96.4,35.7,91/70,All good. Stay healthy!
67.4,96.7,38.3,126/71,Slight fever. Drink water and avoid stress.
110.4,88.0,38.7,160/96,🚨 Emergency! Call for help.
55.8,91.5,38.4,110/69,Low SpO2. Do deep breathing or go outside.
102.9,95.6,37.7,112/83,Elevated heart rate. Take a walk or rest.
98.2,95.6,38.2,122/74,Slight fever. Drink water and avoid stress.
92.3,86.4,38.5,113/83,🚨 Emergency! Call for help.
126.1,94.7,36.1,149/91,Elevated heart rate. Take a walk or rest.
66.8,90.2,37.8,120/77,Low SpO2. Do deep breathing or go outside.
79.6,87.3,37.8,111/78,🚨 Emergency! Call for help.
60.5,98.2,37.3,121/78,All good. Stay healthy!
111.8,91.4,36.7,145/88,Low SpO2. Do deep breathing or go outside.
115.7,99.4,38.9,140/94,You are overheating. Rest and hydrate.
114.8,95.8,35.9,135/87,Elevated heart rate. Take a walk or rest.
88.1,92.3,38.9,127/79,Low SpO2. Do deep breathing or go outside.
103.3,95.8,37.5,126/75,Elevated heart rate. Take a walk or rest.
89.4,96.8,38.9,114/76,Slight fever. Drink water and avoid stress.
57.8,96.1,38.0,106/69,Slight fever. Drink water and avoid stress.
125.0,85.3,37.8,154/96,🚨 Emergency! Call for help.
110.6,94.4,37.3,156/92,Elevated heart rate. Take a walk or rest.
85.4,98.5,38.7,119/79,Slight fever. Drink water and avoid stress.
106.4,89.6,37.4,121/80,🚨 Emergency! Call for help.
97.5,97.0,37.9,117/80,Slight fever. Drink water and avoid stress.
82.4,90.7,35.7,122/73,Low SpO2. Do deep breathing or go outside.
107.9,94.5,37.4,118/80,Elevated heart rate. Take a walk or rest.
94.6,86.9,36.1,122/85,🚨 Emergency! Call for help.
64.2,95.4,37.2,129/85,All good. Stay healthy!
112.0,90.0,36.7,142/89,Low SpO2. Do deep breathing or go outside.
119.0,90.7,37.4,138/95,Low SpO2. Do deep breathing or go outside.
120.5,86.0,38.1,156/92,🚨 Emergency! Call for help.
122.8,93.5,39.0,156/95,You are overheating. Rest and hydrate.
110.4,95.6,35.6,160/91,🚨 Emergency! Call for help.
99.2,95.6,37.4,113/83,All good. Stay healthy!
89.4,99.7,37.1,114/73,All good. Stay healthy!
84.0,89.7,35.9,122/83,🚨 Emergency! Call for help.
119.4,97.7,37.8,151/96,Elevated heart rate. Take a walk or rest.
128.4,95.6,37.8,158/89,Elevated heart rate. Take a walk or rest.
127.3,91.5,36.2,144/95,Low SpO2. Do deep breathing or go outside.
108.6,94.9,36.8,127/73,Elevated heart rate. Take a walk or rest.
80.2,87.2,38.3,120/84,🚨 Emergency! Call for help.
110.8,95.7,36.2,139/97,Elevated heart rate. Take a walk or rest.
87.2,93.8,36.2,110/72,Low SpO2. Do deep breathing or go outside.
92.9,88.9,35.6,115/72,🚨 Emergency! Call for help.
116.6,85.1,37.1,138/96,🚨 Emergency! Call for help.
122.9,97.9,36.6,136/94,Elevated heart rate. Take a walk or rest.
69.0,92.0,37.1,126/84,Low SpO2. Do deep breathing or go outside.
81.9,95.7,37.6,110/84,Slight fever. Drink water and avoid stress.
58.6,99.5,38.8,107/67,Slight fever. Drink water and avoid stress.
128.9,93.1,37.8,138/94,Low SpO2. Do deep breathing or go outside.
87.9,96.5,36.9,114/78,All good. Stay healthy!
85.4,96.1,36.3,120/76,All good. Stay healthy!
76.4,96.3,38.3,117/72,Slight fever. Drink water and avoid stress.
100.0,94.4,36.5,112/75,All good. Stay healthy!
67.4,97.9,36.2,129/70,All good. Stay healthy!
120.9,90.4,36.9,146/87,Low SpO2. Do deep breathing or go outside.
124.6,90.3,35.6,135/100,Low SpO2. Do deep breathing or go outside.
75.2,86.9,36.6,122/82,🚨 Emergency! Call for help.
81.0,97.3,35.6,114/71,All good. Stay healthy!
119.3,93.2,38.0,153/92,You are overheating. Rest and hydrate.
60.7,89.5,36.2,126/80,🚨 Emergency! Call for help.
96.0,98.5,36.9,111/77,All good. Stay healthy!
99.5,91.6,37.6,118/80,Low SpO2. Do deep breathing or go outside.
106.1,85.1,36.5,118/80,🚨 Emergency! Call for help.
75.9,86.9,35.5,121/79,🚨 Emergency! Call for help.
99.0,93.3,38.9,124/84,Low SpO2. Do deep breathing or go outside.
57.4,85.2,38.2,106/67,🚨 Emergency! Call for help.
65.0,92.7,37.2,127/79,Low SpO2. Do deep breathing or go outside.
129.2,86.0,36.1,159/95,🚨 Emergency! Call for help.
105.4,86.8,37.5,113/81,🚨 Emergency! Call for help.
86.6,96.8,36.9,114/85,All good. Stay healthy!
105.4,96.5,35.7,114/84,Elevated heart rate. Take a walk or rest.
91.7,90.4,37.3,110/85,Low SpO2. Do deep breathing or go outside.
67.4,88.8,38.7,124/73,🚨 Emergency! Call for help.
84.6,92.7,36.8,130/81,Low SpO2. Do deep breathing or go outside.
91.2,98.2,37.4,128/84,All good. Stay healthy!
115.2,92.1,35.6,155/86,Low SpO2. Do deep breathing or go outside.
119.8,99.4,38.1,138/86,You are overheating. Rest and hydrate.
64.5,87.3,35.8,114/76,🚨 Emergency! Call for help.
86.6,98.1,38.4,118/71,Slight fever. Drink water and avoid stress.
92.6,89.0,35.6,112/72,🚨 Emergency! Call for help.
121.0,85.4,38.1,139/98,🚨 Emergency! Call for help.
74.7,92.1,35.9,128/72,Low SpO2. Do deep breathing or go outside.
100.9,89.6,38.2,123/84,🚨 Emergency! Call for help.
111.0,98.4,36.9,150/86,Elevated heart rate. Take a walk or rest.
93.2,89.2,37.7,123/84,🚨 Emergency! Call for help.
128.8,97.2,38.4,144/85,You are overheating. Rest and hydrate.
69.3,85.9,35.6,110/70,🚨 Emergency! Call for help.
112.5,87.5,37.7,136/95,🚨 Emergency! Call for help.
76.6,92.1,35.7,127/78,Low SpO2. Do deep breathing or go outside.
121.9,98.9,36.6,144/89,Elevated heart rate. Take a walk or rest.
93.8,98.1,38.1,111/70,Slight fever. Drink water and avoid stress.
95.6,86.7,38.0,126/81,🚨 Emergency! Call for help.
107.5,93.0,37.2,114/76,Low SpO2. Do deep breathing or go outside.
99.4,89.0,36.0,130/76,🚨 Emergency! Call for help.
68.6,93.2,36.9,118/79,Low SpO2. Do deep breathing or go outside.
66.1,95.7,38.6,120/82,Slight fever. Drink water and avoid stress.
59.6,99.5,36.9,91/60,All good. Stay healthy!
90.2,85.8,35.6,124/70,🚨 Emergency! Call for help.
75.9,96.6,38.0,117/84,Slight fever. Drink water and avoid stress.
66.5,95.9,38.2,111/75,Slight fever. Drink water and avoid stress.
96.1,98.4,38.8,127/81,Slight fever. Drink water and avoid stress.
60.2,86.4,36.1,125/80,🚨 Emergency! Call for help.
128.7,92.1,37.6,157/88,Low SpO2. Do deep breathing or go outside.
63.3,97.5,35.9,110/80,All good. Stay healthy!
89.5,92.8,38.2,114/83,Low SpO2. Do deep breathing or go outside.
115.3,92.5,36.5,138/94,Low SpO2. Do deep breathing or go outside.
64.5,88.6,35.7,127/78,🚨 Emergency! Call for help.
87.8,87.9,37.4,113/72,🚨 Emergency! Call for help.
73.1,99.8,36.0,122/77,All good. Stay healthy!
115.1,91.4,37.7,137/93,Low SpO2. Do deep breathing or go outside.
84.1,85.2,36.2,114/78,🚨 Emergency! Call for help.
91.8,99.9,36.8,122/78,All good. Stay healthy!
118.4,94.9,36.7,139/90,Elevated heart rate. Take a walk or rest.
71.9,98.7,36.2,129/85,All good. Stay healthy!
58.4,96.4,36.2,94/65,All good. Stay healthy!
68.4,86.8,35.7,125/85,🚨 Emergency! Call for help.
88.2,87.2,35.5,112/85,🚨 Emergency! Call for help.
86.0,89.3,37.0,113/74,🚨 Emergency! Call for help.
96.1,96.7,37.7,117/76,Slight fever. Drink water and avoid stress.
122.4,91.4,37.6,150/87,Low SpO2. Do deep breathing or go outside.
127.9,86.2,36.2,140/86,🚨 Emergency! Call for help.
114.6,92.4,38.8,155/86,You are overheating. Rest and hydrate.
103.1,95.3,38.8,125/83,You are overheating. Rest and hydrate.
62.2,87.6,37.2,124/75,🚨 Emergency! Call for help.
81.1,99.8,37.9,112/80,Slight fever. Drink water and avoid stress.
119.7,93.8,36.1,147/97,Low SpO2. Do deep breathing or go outside.
61.1,87.0,38.5,120/76,🚨 Emergency! Call for help.
94.7,89.4,38.8,114/76,🚨 Emergency! Call for help.
90.4,93.9,37.6,127/84,Low SpO2. Do deep breathing or go outside.
115.1,87.2,36.4,146/90,🚨 Emergency! Call for help.
88.8,93.4,35.7,113/70,Low SpO2. Do deep breathing or go outside.
78.6,93.8,35.7,113/76,Low SpO2. Do deep breathing or go outside.
100.1,85.6,38.9,125/81,🚨 Emergency! Call for help.
102.5,99.5,39.0,123/73,You are overheating. Rest and hydrate.
116.2,89.4,37.0,160/86,🚨 Emergency! Call for help.
77.3,98.6,35.7,119/79,All good. Stay healthy!
106.9,87.1,37.5,128/75,🚨 Emergency! Call for help.
106.2,88.4,37.2,121/75,🚨 Emergency! Call for help.
82.4,91.4,37.7,128/82,Low SpO2. Do deep breathing or go outside.
78.0,96.5,38.9,116/70,Slight fever. Drink water and avoid stress.
88.8,94.4,37.9,110/78,Slight fever. Drink water and avoid stress.
115.0,97.3,36.6,149/100,Elevated heart rate. Take a walk or rest.
84.8,94.2,35.6,128/74,All good. Stay healthy!
90.9,94.4,36.7,111/74,All good. Stay healthy!
57.0,96.8,36.7,109/65,All good. Stay healthy!
101.6,98.0,37.9,117/76,Elevated heart rate. Take a walk or rest.
114.3,98.1,38.0,146/85,You are overheating. Rest and hydrate.
75.0,92.1,37.7,119/73,Low SpO2. Do deep breathing or go outside.
96.7,99.0,38.4,123/73,Slight fever. Drink water and avoid stress.
102.7,88.2,38.8,129/82,🚨 Emergency! Call for help.
126.7,99.5,37.5,150/98,Elevated heart rate. Take a walk or rest.
83.8,95.1,35.9,118/76,All good. Stay healthy!
128.5,87.5,37.2,143/96,🚨 Emergency! Call for help.
118.2,91.6,36.1,151/90,Low SpO2. Do deep breathing or go outside.
89.7,87.4,37.8,110/75,🚨 Emergency! Call for help.
86.4,92.5,38.8,121/85,Low SpO2. Do deep breathing or go outside.
103.2,86.6,36.1,130/72,🚨 Emergency! Call for help.
89.7,93.9,37.3,117/78,Low SpO2. Do deep breathing or go outside.
83.4,98.6,36.0,128/76,All good. Stay healthy!
58.1,86.3,36.4,109/65,🚨 Emergency! Call for help.
83.9,98.5,35.8,125/74,All good. Stay healthy!
58.6,98.0,38.8,100/62,Slight fever. Drink water and avoid stress.
113.6,90.3,36.5,147/100,Low SpO2. Do deep breathing or go outside.
129.8,91.3,38.5,155/90,You are overheating. Rest and hydrate.
88.7,95.2,36.1,114/74,All good. Stay healthy!
110.8,85.7,38.4,138/87,🚨 Emergency! Call for help.
76.6,94.4,37.6,113/78,Slight fever. Drink water and avoid stress.
55.1,86.5,37.9,90/64,🚨 Emergency! Call for help.
94.7,99.4,36.3,119/72,All good. Stay healthy!
87.3,90.6,35.6,116/77,Low SpO2. Do deep breathing or go outside.
120.9,94.6,37.6,137/100,Elevated heart rate. Take a walk or rest.
66.0,94.1,38.4,126/74,Slight fever. Drink water and avoid stress.
125.9,98.9,38.7,151/90,You are overheating. Rest and hydrate.
63.1,89.3,35.7,118/70,🚨 Emergency! Call for help.
87.1,85.3,35.6,113/76,🚨 Emergency! Call for help.
102.7,96.0,37.0,112/70,Elevated heart rate. Take a walk or rest.
80.4,95.7,35.7,120/81,All good. Stay healthy!
85.7,97.9,38.7,114/80,Slight fever. Drink water and avoid stress.
101.1,91.2,36.5,114/85,Low SpO2. Do deep breathing or go outside.
85.9,88.3,36.0,111/80,🚨 Emergency! Call for help.
74.6,93.6,35.7,118/85,Low SpO2. Do deep breathing or go outside.
60.5,95.0,37.0,119/85,All good. Stay healthy!
103.6,88.7,36.4,124/76,🚨 Emergency! Call for help.
97.9,93.2,38.4,130/85,Low SpO2. Do deep breathing or go outside.
83.9,90.9,38.6,122/73,Low SpO2. Do deep breathing or go outside.
87.6,87.0,38.2,118/76,🚨 Emergency! Call for help.
105.9,96.7,36.3,127/85,Elevated heart rate. Take a walk or rest.
82.8,90.6,38.4,126/81,Low SpO2. Do deep breathing or go outside.
68.6,89.8,38.5,123/75,🚨 Emergency! Call for help.
101.5,91.1,38.0,116/84,You are overheating. Rest and hydrate.
90.2,94.3,37.2,124/85,All good. Stay healthy!
74.0,93.3,37.1,116/78,Low SpO2. Do deep breathing or go outside.
99.2,97.1,38.1,116/83,Slight fever. Drink water and avoid stress.
115.8,89.0,35.6,145/87,🚨 Emergency! Call for help.
112.1,97.9,38.9,145/100,You are overheating. Rest and hydrate.
111.2,99.6,38.6,145/93,You are overheating. Rest and hydrate.
63.5,85.5,37.0,126/74,🚨 Emergency! Call for help.
96.0,98.5,37.0,125/74,All good. Stay healthy!
114.9,97.5,38.8,138/85,You are overheating. Rest and hydrate.
107.3,93.7,37.9,111/76,Low SpO2. Do deep breathing or go outside.
86.6,91.4,35.9,125/80,Low SpO2. Do deep breathing or go outside.
121.8,96.4,37.3,135/93,Elevated heart rate. Take a walk or rest.
79.6,87.0,35.9,112/83,🚨 Emergency! Call for help.
75.8,91.4,38.6,125/79,Low SpO2. Do deep breathing or go outside.
75.4,96.4,37.4,129/77,All good. Stay healthy!
101.7,94.9,36.5,126/70,Elevated heart rate. Take a walk or rest.
73.1,85.2,36.6,117/72,🚨 Emergency! Call for help.
74.0,88.0,36.8,129/81,🚨 Emergency! Call for help.
65.0,96.8,37.2,118/73,All good. Stay healthy!
118.5,95.7,35.6,146/85,Elevated heart rate. Take a walk or rest.
104.7,87.5,37.3,129/81,🚨 Emergency! Call for help.
63.2,97.4,38.2,126/72,Slight fever. Drink water and avoid stress.
100.8,85.6,35.5,120/77,🚨 Emergency! Call for help.
62.3,86.9,35.8,110/78,🚨 Emergency! Call for help.
74.0,92.0,36.4,127/82,Low SpO2. Do deep breathing or go outside.
77.5,93.7,36.1,110/76,Low SpO2. Do deep breathing or go outside.
98.3,94.4,37.3,119/84,All good. Stay healthy!
84.3,88.1,36.3,118/74,🚨 Emergency! Call for help.
129.8,98.2,37.3,139/99,Elevated heart rate. Take a walk or rest.
65.7,85.9,36.6,115/83,🚨 Emergency! Call for help.
127.8,85.5,36.4,143/92,🚨 Emergency! Call for help.
114.4,88.4,36.6,138/87,🚨 Emergency! Call for help.
112.9,95.2,37.8,157/98,Elevated heart rate. Take a walk or rest.
120.2,85.9,36.3,143/96,🚨 Emergency! Call for help.
112.8,90.0,36.8,159/86,Low SpO2. Do deep breathing or go outside.
96.8,94.1,37.8,115/78,Slight fever. Drink water and avoid stress.
102.4,98.3,36.6,115/74,Elevated heart rate. Take a walk or rest.
103.0,87.1,35.9,114/78,🚨 Emergency! Call for help.
65.4,93.9,38.2,113/72,Low SpO2. Do deep breathing or go outside.
101.0,95.8,38.1,127/80,You are overheating. Rest and hydrate.
102.1,93.8,36.9,127/79,Low SpO2. Do deep breathing or go outside.
63.9,88.0,38.2,113/72,🚨 Emergency! Call for help.
90.3,90.6,35.6,115/80,Low SpO2. Do deep breathing or go outside.
109.3,93.4,35.6,126/85,Low SpO2. Do deep breathing or go outside.
104.7,99.9,37.0,113/82,Elevated heart rate. Take a walk or rest.
80.4,94.3,36.6,115/73,All good. Stay healthy!
128.3,94.0,35.9,153/92,Elevated heart rate. Take a walk or rest.
110.9,96.6,37.3,152/90,Elevated heart rate. Take a walk or rest.
100.2,87.9,36.1,123/83,🚨 Emergency! Call for help.
122.3,88.7,36.1,135/96,🚨 Emergency! Call for help.
108.2,97.5,37.3,113/83,Elevated heart rate. Take a walk or rest.
94.9,89.2,36.7,129/78,🚨 Emergency! Call for help.
118.8,86.5,36.7,146/88,🚨 Emergency! Call for help.
129.2,90.4,37.1,135/93,Low SpO2. Do deep breathing or go outside.
63.9,97.7,36.0,127/79,All good. Stay healthy!
116.7,88.6,35.5,147/100,🚨 Emergency! Call for help.
125.4,94.9,35.6,142/90,Elevated heart rate. Take a walk or rest.
111.2,96.8,36.6,149/93,Elevated heart rate. Take a walk or rest.
127.0,91.8,37.7,159/86,Low SpO2. Do deep breathing or go outside.
111.3,88.1,37.4,150/95,🚨 Emergency! Call for help.
111.6,99.6,36.8,154/97,Elevated heart rate. Take a walk or rest.
77.1,91.2,36.2,126/85,Low SpO2. Do deep breathing or go outside.
68.1,98.1,37.8,113/70,Slight fever. Drink water and avoid stress.
106.4,86.5,39.0,130/72,🚨 Emergency! Call for help.
77.1,86.2,37.8,119/73,🚨 Emergency! Call for help.
119.7,97.7,37.8,145/94,Elevated heart rate. Take a walk or rest.
68.2,90.3,37.1,123/74,Low SpO2. Do deep breathing or go outside.
103.9,91.5,36.1,117/77,Low SpO2. Do deep breathing or go outside.
111.6,98.8,37.6,135/92,Elevated heart rate. Take a walk or rest.
82.7,86.4,37.1,115/84,🚨 Emergency! Call for help.
63.3,95.2,36.5,126/83,All good. Stay healthy!
57.6,86.0,35.6,108/60,🚨 Emergency! Call for help.
70.0,98.8,37.3,111/70,All good. Stay healthy!
61.6,92.1,35.6,117/77,Low SpO2. Do deep breathing or go outside.
112.9,90.4,38.6,145/93,You are overheating. Rest and hydrate.
94.9,99.7,37.4,124/77,All good. Stay healthy!
58.1,85.4,36.2,90/64,🚨 Emergency! Call for help.
93.3,92.4,38.7,110/72,Low SpO2. Do deep breathing or go outside.
98.6,96.0,39.0,122/81,Slight fever. Drink water and avoid stress.
87.0,99.1,36.0,128/82,All good. Stay healthy!
98.3,99.6,36.0,111/82,All good. Stay healthy!
78.8,94.6,38.8,117/79,Slight fever. Drink water and avoid stress.
118.3,93.3,38.9,145/93,You are overheating. Rest and hydrate.
113.7,86.3,38.0,147/98,🚨 Emergency! Call for help.
104.9,85.7,36.2,118/82,🚨 Emergency! Call for help.
85.4,99.0,37.2,115/72,All good. Stay healthy!
128.0,87.6,35.7,141/92,🚨 Emergency! Call for help.
87.6,87.0,37.5,114/71,🚨 Emergency! Call for help.
106.3,99.3,35.6,114/82,Elevated heart rate. Take a walk or rest.
65.3,97.3,38.6,119/75,Slight fever. Drink water and avoid stress.
98.0,89.9,37.1,110/77,🚨 Emergency! Call for help.
128.8,88.1,36.8,142/90,🚨 Emergency! Call for help.
126.3,92.3,36.6,158/88,Low SpO2. Do deep breathing or go outside.
108.8,90.1,36.7,126/72,Low SpO2. Do deep breathing or go outside.
64.6,95.5,36.3,110/80,All good. Stay healthy!
70.9,92.2,36.5,123/79,Low SpO2. Do deep breathing or go outside.
84.1,89.4,36.6,119/72,🚨 Emergency! Call for help.
82.2,93.4,36.7,117/81,Low SpO2. Do deep breathing or go outside.
92.1,89.7,37.0,112/70,🚨 Emergency! Call for help.
109.5,85.1,38.3,110/84,🚨 Emergency! Call for help.
63.1,88.6,38.3,128/80,🚨 Emergency! Call for help.
115.5,90.0,38.8,145/99,You are overheating. Rest and hydrate.
56.5,90.7,35.9,100/67,Low SpO2. Do deep breathing or go outside.
128.6,99.5,38.8,153/96,You are overheating. Rest and hydrate.
84.3,96.8,36.4,116/84,All good. Stay healthy!
63.0,97.4,35.8,121/75,All good. Stay healthy!
56.2,85.8,37.0,91/64,🚨 Emergency! Call for help.
56.9,95.6,37.2,108/66,All good. Stay healthy!
64.3,93.6,37.1,129/76,Low SpO2. Do deep breathing or go outside.
127.1,86.3,35.5,160/90,🚨 Emergency! Call for help.
120.7,94.1,37.4,140/88,Elevated heart rate. Take a walk or rest.
88.9,86.8,35.5,111/78,🚨 Emergency! Call for help.
90.7,88.7,36.4,114/75,🚨 Emergency! Call for help.
86.1,98.6,37.5,122/76,Slight fever. Drink water and avoid stress.
107.7,95.8,36.8,120/82,Elevated heart rate. Take a walk or rest.
76.0,94.0,36.1,127/75,All good. Stay healthy!
130.0,93.4,38.1,158/87,You are overheating. Rest and hydrate.
80.6,95.2,35.9,126/77,All good. Stay healthy!
90.7,97.6,35.7,121/83,All good. Stay healthy!
72.2,90.2,38.2,129/84,Low SpO2. Do deep breathing or go outside.
108.8,92.8,36.2,127/82,Low SpO2. Do deep breathing or go outside.
74.5,95.8,38.9,114/74,Slight fever. Drink water and avoid stress.
69.0,89.5,36.2,127/82,🚨 Emergency! Call for help.
84.9,85.8,36.7,129/74,🚨 Emergency! Call for help.
77.1,96.5,37.9,127/77,Slight fever. Drink water and avoid stress.
62.0,91.7,38.5,122/72,Low SpO2. Do deep breathing or go outside.
104.0,90.8,36.9,117/75,Low SpO2. Do deep breathing or go outside.
89.2,87.5,35.5,122/80,🚨 Emergency! Call for help.
127.2,96.7,37.3,148/86,Elevated heart rate. Take a walk or rest.
116.4,92.7,37.0,139/88,Low SpO2. Do deep breathing or go outside.
98.3,97.5,36.9,117/83,All good. Stay healthy!
96.4,86.9,38.0,113/81,🚨 Emergency! Call for help.
89.5,95.2,36.7,121/73,All good. Stay healthy!
96.5,96.7,35.5,117/85,All good. Stay healthy!
69.8,90.7,35.7,113/71,Low SpO2. Do deep breathing or go outside.
68.5,86.0,38.0,121/71,🚨 Emergency! Call for help.
62.4,98.1,37.9,125/83,Slight fever. Drink water and avoid stress.
116.0,85.8,36.2,140/97,🚨 Emergency! Call for help.
114.3,91.1,37.6,139/100,Low SpO2. Do deep breathing or go outside.
127.7,96.5,35.6,160/89,🚨 Emergency! Call for help.
56.2,85.2,35.9,106/69,🚨 Emergency! Call for help.
75.4,89.0,38.0,114/85,🚨 Emergency! Call for help.
89.7,99.3,38.8,119/77,Slight fever. Drink water and avoid stress.
81.3,91.0,38.6,115/80,Low SpO2. Do deep breathing or go outside.
